Brand,Full Model,Model,Price,Manufacturer,Phone Url
Samsung,Galaxy A25 6GB RAM/128GB,Galaxy A25,11700,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-a25-6gb-ram128gb
Samsung,Galaxy S24 5G 8/128GB,Galaxy S24,35000,Mobelix,https://mobelix.com.mk/mk/proizvodi/galaxy-s24-5g-8128gb
Samsung,Galaxy S24+ 5G 12/256GB,Galaxy S24+,44300,Mobelix,https://mobelix.com.mk/mk/proizvodi/galaxy-s24-5g-12256gb
Samsung,Galaxy S24 Ultra 5G 12/256GB,Galaxy S24 Ultra,51000,Mobelix,https://mobelix.com.mk/mk/proizvodi/galaxy-s24-ultra-5g-12256gb
Xiaomi,Poco X6 Pro 5G 12GB RAM/512GB,Poco X6 Pro,20300,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-poco-x6-pro-5g-12gb-ram512gb
Xiaomi,Redmi Note 13 Pro+ 5G 12GB RAM/512GB,Redmi Note 13 Pro+,22100,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-13-pro-5g-12gb-ram512gb
Samsung,Galaxy Z Fold 5 5G 12GB RAM/512GB,Galaxy Z Fold 5,69500,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-z-fold-5-5g-12gb-ram512gb
One Plus,Nord 2 12GB RAM/256GB,Nord 2,30700,Mobelix,https://mobelix.com.mk/mk/proizvodi/one-plus-nord-2-12gb-ram256gb
Samsung,Galaxy A35 8GB RAM/128GB,Galaxy A35,14800,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-a35-8gb-ram128gb
Honor,Magic 6 Pro 12GB RAM/512GB,Magic 6 Pro,61500,Mobelix,https://mobelix.com.mk/mk/proizvodi/honor-magic-6-pro-12gb-ram512gb
Nothing,Phone 2a 8GB RAM/128GB,Phone 2a,22800,Mobelix,https://mobelix.com.mk/mk/proizvodi/nothing-phone-2a
Xiaomi,Redmi Note 13 8GB RAM/256GB,Redmi Note 13,14800,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-13-8gb-ram256gb
Samsung,Galaxy A55 5G 8GB RAM/256GB,Galaxy A55,20300,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-a55-5g-8gb-ram256gb
Nokia,8210,8210,5000,Mobelix,https://mobelix.com.mk/mk/proizvodi/nokia-8210
Samsung,Galaxy M34 6GB RAM/128GB,Galaxy M34,14100,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-m34-6gb-ram128gb
Xiaomi,Redmi Note 13T 12GB RAM/256GB,Redmi Note 13T,27700,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-13t-12gb-ram256gb
Xiaomi,Redmi Note 13T Pro 12GB RAM/512GB,Redmi Note 13T Pro,34400,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-13t-pro-12gb-ram512gb
Realme,GT6 12GB RAM/256GB,GT6,33800,Mobelix,https://mobelix.com.mk/mk/proizvodi/realme-gt6-12gb-ram256gb
Samsung,Galaxy A06 4/128GB,Galaxy A06,7400,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-a06-4128gb
Samsung,S24 FE 8/256GB,Galaxy S24 FE,32000,Mobelix,https://mobelix.com.mk/mk/proizvodi/galaxy-s24-fe-8256gb
Motorola,Motorola Razr 50 Ultra,Motorola Razr 50 Ultra,61500,Mobelix,https://mobelix.com.mk/mk/proizvodi/motorola-razr-50-ultra
Google,Pixel 9 12GB RAM/128GB,Pixel 9,44300,Mobelix,https://mobelix.com.mk/mk/proizvodi/google-pixel-9-12gb-ram128gb
Nothing,Phone 1 CMF 6GB RAM/128GB,Phone 1 CMF,18500,Mobelix,https://mobelix.com.mk/mk/proizvodi/nothing-phone-1-cmf-6gb-ram128gb
Nokia,106,106,1200,Mobelix,https://mobelix.com.mk/mk/proizvodi/nokia-106
